Name,Enabeled,Status,Last Run Outcome,Last Run,Next Run,Category,Runnable,Scheduled,CategoryID
BW_BI - Ledger_View - Previous Fiscal Year to Date - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - Update Combined Notes - NESTOR,yes,Idle ,Succeeded,3/29/23 0:55,3/30/23 0:55,[Uncategorized (Local)],yes,yes,0
SL - artran - inv_item Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 0:50,3/30/23 0:50,[Uncategorized (Local)],yes,yes,0
SL - timeatt Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 0:45,3/30/23 0:45,[Uncategorized (Local)],yes,yes,0
SL - pertot - NESTOR,yes,Idle ,Succeeded,3/29/23 0:35,3/30/23 0:35,[Uncategorized (Local)],yes,yes,0
SL - matltran only add new - NESTOR,yes,Idle ,Succeeded,3/29/23 0:30,3/30/23 0:30,[Uncategorized (Local)],yes,yes,0
Reference - Currency Rate Update - NESTOR,yes,Idle ,Succeeded,3/29/23 0:20,3/30/23 0:20,[Uncategorized (Local)],yes,yes,0
BW_BI - CO Actual Cost (All Sites) - NESTOR,yes,Idle ,Succeeded,3/29/23 0:15,3/30/23 0:15,[Uncategorized (Local)],yes,yes,0
SL - Ledger Fiscal Year Only - NESTOR,yes,Idle ,Succeeded,3/29/23 0:10,3/30/23 0:10,[Uncategorized (Local)],yes,yes,0
SL - Site_Time - NESTOR,yes,Idle ,Succeeded,3/29/23 0:05,3/30/23 0:05,[Uncategorized (Local)],yes,yes,0
BW_BI - Sales Budget Monthly - SL,yes,Idle ,Succeeded,3/27/23 4:30,4/3/23 4:30,[Uncategorized (Local)],yes,yes,0
SL - itemcust - NESTOR,yes,Idle ,Succeeded,3/26/23 2:25,4/2/23 2:25,[Uncategorized (Local)],yes,yes,0
SL - CORP Project Sync - NESTOR,yes,Idle ,Succeeded,3/26/23 2:15,4/2/23 2:15,[Uncategorized (Local)],yes,yes,0
SL - matltrack - NESTOR,yes,Idle ,Succeeded,3/26/23 1:00,4/2/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - Note(s) Table Update - NESTOR,yes,Idle ,Succeeded,3/25/23 18:00,4/1/23 18:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Resin Surcharge Table - BW_BI,yes,Idle ,Succeeded,3/25/23 17:00,4/1/23 17:00,[Uncategorized (Local)],yes,yes,0
BW_BI - reason table full - SL,yes,Idle ,Succeeded,3/25/23 16:00,4/1/23 16:00,[Uncategorized (Local)],yes,yes,0
